Species,Culmen Length (mm),Body Mass (g)
Adelie Penguin (Pygoscelis adeliae),39.1,3750.0
Adelie Penguin (Pygoscelis adeliae),39.5,3800.0
Adelie Penguin (Pygoscelis adeliae),40.3,3250.0
Adelie Penguin (Pygoscelis adeliae),36.7,3450.0
Adelie Penguin (Pygoscelis adeliae),39.3,3650.0
Adelie Penguin (Pygoscelis adeliae),38.9,3625.0
Adelie Penguin (Pygoscelis adeliae),39.2,4675.0
Adelie Penguin (Pygoscelis adeliae),34.1,3475.0
Adelie Penguin (Pygoscelis adeliae),42.0,4250.0
Adelie Penguin (Pygoscelis adeliae),37.8,3300.0
Adelie Penguin (Pygoscelis adeliae),37.8,3700.0
Adelie Penguin (Pygoscelis adeliae),41.1,3200.0
Adelie Penguin (Pygoscelis adeliae),38.6,3800.0
Adelie Penguin (Pygoscelis adeliae),34.6,4400.0
Adelie Penguin (Pygoscelis adeliae),36.6,3700.0
Adelie Penguin (Pygoscelis adeliae),38.7,3450.0
Adelie Penguin (Pygoscelis adeliae),42.5,4500.0
Adelie Penguin (Pygoscelis adeliae),34.4,3325.0
Adelie Penguin (Pygoscelis adeliae),46.0,4200.0
Adelie Penguin (Pygoscelis adeliae),37.8,3400.0
Adelie Penguin (Pygoscelis adeliae),37.7,3600.0
Adelie Penguin (Pygoscelis adeliae),35.9,3800.0
Adelie Penguin (Pygoscelis adeliae),38.2,3950.0
Adelie Penguin (Pygoscelis adeliae),38.8,3800.0
Adelie Penguin (Pygoscelis adeliae),35.3,3800.0
Adelie Penguin (Pygoscelis adeliae),40.6,3550.0
Adelie Penguin (Pygoscelis adeliae),40.5,3200.0
Adelie Penguin (Pygoscelis adeliae),37.9,3150.0
Adelie Penguin (Pygoscelis adeliae),40.5,3950.0
Adelie Penguin (Pygoscelis adeliae),39.5,3250.0
Adelie Penguin (Pygoscelis adeliae),37.2,3900.0
Adelie Penguin (Pygoscelis adeliae),39.5,3300.0
Adelie Penguin (Pygoscelis adeliae),40.9,3900.0
Adelie Penguin (Pygoscelis adeliae),36.4,3325.0
Adelie Penguin (Pygoscelis adeliae),39.2,4150.0
Adelie Penguin (Pygoscelis adeliae),38.8,3950.0
Adelie Penguin (Pygoscelis adeliae),42.2,3550.0
Adelie Penguin (Pygoscelis adeliae),37.6,3300.0
Adelie Penguin (Pygoscelis adeliae),39.8,4650.0
Adelie Penguin (Pygoscelis adeliae),36.5,3150.0
Adelie Penguin (Pygoscelis adeliae),40.8,3900.0
Adelie Penguin (Pygoscelis adeliae),36.0,3100.0
Adelie Penguin (Pygoscelis adeliae),44.1,4400.0
Adelie Penguin (Pygoscelis adeliae),37.0,3000.0
Adelie Penguin (Pygoscelis adeliae),39.6,4600.0
Adelie Penguin (Pygoscelis adeliae),41.1,3425.0
Adelie Penguin (Pygoscelis adeliae),37.5,2975.0
Adelie Penguin (Pygoscelis adeliae),36.0,3450.0
Adelie Penguin (Pygoscelis adeliae),42.3,4150.0
Adelie Penguin (Pygoscelis adeliae),39.6,3500.0
Adelie Penguin (Pygoscelis adeliae),40.1,4300.0
Adelie Penguin (Pygoscelis adeliae),35.0,3450.0
Adelie Penguin (Pygoscelis adeliae),42.0,4050.0
Adelie Penguin (Pygoscelis adeliae),34.5,2900.0
Adelie Penguin (Pygoscelis adeliae),41.4,3700.0
Adelie Penguin (Pygoscelis adeliae),39.0,3550.0
Adelie Penguin (Pygoscelis adeliae),40.6,3800.0
Adelie Penguin (Pygoscelis adeliae),36.5,2850.0
Adelie Penguin (Pygoscelis adeliae),37.6,3750.0
Adelie Penguin (Pygoscelis adeliae),35.7,3150.0
Adelie Penguin (Pygoscelis adeliae),41.3,4400.0
Adelie Penguin (Pygoscelis adeliae),37.6,3600.0
Adelie Penguin (Pygoscelis adeliae),41.1,4050.0
Adelie Penguin (Pygoscelis adeliae),36.4,2850.0
Adelie Penguin (Pygoscelis adeliae),41.6,3950.0
Adelie Penguin (Pygoscelis adeliae),35.5,3350.0
Adelie Penguin (Pygoscelis adeliae),41.1,4100.0
Adelie Penguin (Pygoscelis adeliae),35.9,3050.0
Adelie Penguin (Pygoscelis adeliae),41.8,4450.0
Adelie Penguin (Pygoscelis adeliae),33.5,3600.0
Adelie Penguin (Pygoscelis adeliae),39.7,3900.0
Adelie Penguin (Pygoscelis adeliae),39.6,3550.0
Adelie Penguin (Pygoscelis adeliae),45.8,4150.0
Adelie Penguin (Pygoscelis adeliae),35.5,3700.0
Adelie Penguin (Pygoscelis adeliae),42.8,4250.0
Adelie Penguin (Pygoscelis adeliae),40.9,3700.0
Adelie Penguin (Pygoscelis adeliae),37.2,3900.0
Adelie Penguin (Pygoscelis adeliae),36.2,3550.0
Adelie Penguin (Pygoscelis adeliae),42.1,4000.0
Adelie Penguin (Pygoscelis adeliae),34.6,3200.0
Adelie Penguin (Pygoscelis adeliae),42.9,4700.0
Adelie Penguin (Pygoscelis adeliae),36.7,3800.0
Adelie Penguin (Pygoscelis adeliae),35.1,4200.0
Adelie Penguin (Pygoscelis adeliae),37.3,3350.0
Adelie Penguin (Pygoscelis adeliae),41.3,3550.0
Adelie Penguin (Pygoscelis adeliae),36.3,3800.0
Adelie Penguin (Pygoscelis adeliae),36.9,3500.0
Adelie Penguin (Pygoscelis adeliae),38.3,3950.0
Adelie Penguin (Pygoscelis adeliae),38.9,3600.0
Adelie Penguin (Pygoscelis adeliae),35.7,3550.0
Adelie Penguin (Pygoscelis adeliae),41.1,4300.0
Adelie Penguin (Pygoscelis adeliae),34.0,3400.0
Adelie Penguin (Pygoscelis adeliae),39.6,4450.0
Adelie Penguin (Pygoscelis adeliae),36.2,3300.0
Adelie Penguin (Pygoscelis adeliae),40.8,4300.0
Adelie Penguin (Pygoscelis adeliae),38.1,3700.0
Adelie Penguin (Pygoscelis adeliae),40.3,4350.0
Adelie Penguin (Pygoscelis adeliae),33.1,2900.0
Adelie Penguin (Pygoscelis adeliae),43.2,4100.0
Adelie Penguin (Pygoscelis adeliae),35.0,3725.0
Adelie Penguin (Pygoscelis adeliae),41.0,4725.0
Adelie Penguin (Pygoscelis adeliae),37.7,3075.0
Adelie Penguin (Pygoscelis adeliae),37.8,4250.0
Adelie Penguin (Pygoscelis adeliae),37.9,2925.0
Adelie Penguin (Pygoscelis adeliae),39.7,3550.0
Adelie Penguin (Pygoscelis adeliae),38.6,3750.0
Adelie Penguin (Pygoscelis adeliae),38.2,3900.0
Adelie Penguin (Pygoscelis adeliae),38.1,3175.0
Adelie Penguin (Pygoscelis adeliae),43.2,4775.0
Adelie Penguin (Pygoscelis adeliae),38.1,3825.0
Adelie Penguin (Pygoscelis adeliae),45.6,4600.0
Adelie Penguin (Pygoscelis adeliae),39.7,3200.0
Adelie Penguin (Pygoscelis adeliae),42.2,4275.0
Adelie Penguin (Pygoscelis adeliae),39.6,3900.0
Adelie Penguin (Pygoscelis adeliae),42.7,4075.0
Adelie Penguin (Pygoscelis adeliae),38.6,2900.0
Adelie Penguin (Pygoscelis adeliae),37.3,3775.0
Adelie Penguin (Pygoscelis adeliae),35.7,3350.0
Adelie Penguin (Pygoscelis adeliae),41.1,3325.0
Adelie Penguin (Pygoscelis adeliae),36.2,3150.0
Adelie Penguin (Pygoscelis adeliae),37.7,3500.0
Adelie Penguin (Pygoscelis adeliae),40.2,3450.0
Adelie Penguin (Pygoscelis adeliae),41.4,3875.0
Adelie Penguin (Pygoscelis adeliae),35.2,3050.0
Adelie Penguin (Pygoscelis adeliae),40.6,4000.0
Adelie Penguin (Pygoscelis adeliae),38.8,3275.0
Adelie Penguin (Pygoscelis adeliae),41.5,4300.0
Adelie Penguin (Pygoscelis adeliae),39.0,3050.0
Adelie Penguin (Pygoscelis adeliae),44.1,4000.0
Adelie Penguin (Pygoscelis adeliae),38.5,3325.0
Adelie Penguin (Pygoscelis adeliae),43.1,3500.0
Adelie Penguin (Pygoscelis adeliae),36.8,3500.0
Adelie Penguin (Pygoscelis adeliae),37.5,4475.0
Adelie Penguin (Pygoscelis adeliae),38.1,3425.0
Adelie Penguin (Pygoscelis adeliae),41.1,3900.0
Adelie Penguin (Pygoscelis adeliae),35.6,3175.0
Adelie Penguin (Pygoscelis adeliae),40.2,3975.0
Adelie Penguin (Pygoscelis adeliae),37.0,3400.0
Adelie Penguin (Pygoscelis adeliae),39.7,4250.0
Adelie Penguin (Pygoscelis adeliae),40.2,3400.0
Adelie Penguin (Pygoscelis adeliae),40.6,3475.0
Adelie Penguin (Pygoscelis adeliae),32.1,3050.0
Adelie Penguin (Pygoscelis adeliae),40.7,3725.0
Adelie Penguin (Pygoscelis adeliae),37.3,3000.0
Adelie Penguin (Pygoscelis adeliae),39.0,3650.0
Adelie Penguin (Pygoscelis adeliae),39.2,4250.0
Adelie Penguin (Pygoscelis adeliae),36.6,3475.0
Adelie Penguin (Pygoscelis adeliae),36.0,3450.0
Adelie Penguin (Pygoscelis adeliae),37.8,3750.0
Adelie Penguin (Pygoscelis adeliae),36.0,3700.0
Adelie Penguin (Pygoscelis adeliae),41.5,4000.0
Chinstrap penguin (Pygoscelis antarctica),46.5,3500.0
Chinstrap penguin (Pygoscelis antarctica),50.0,3900.0
Chinstrap penguin (Pygoscelis antarctica),51.3,3650.0
Chinstrap penguin (Pygoscelis antarctica),45.4,3525.0
Chinstrap penguin (Pygoscelis antarctica),52.7,3725.0
Chinstrap penguin (Pygoscelis antarctica),45.2,3950.0
Chinstrap penguin (Pygoscelis antarctica),46.1,3250.0
Chinstrap penguin (Pygoscelis antarctica),51.3,3750.0
Chinstrap penguin (Pygoscelis antarctica),46.0,4150.0
Chinstrap penguin (Pygoscelis antarctica),51.3,3700.0
Chinstrap penguin (Pygoscelis antarctica),46.6,3800.0
Chinstrap penguin (Pygoscelis antarctica),51.7,3775.0
Chinstrap penguin (Pygoscelis antarctica),47.0,3700.0
Chinstrap penguin (Pygoscelis antarctica),52.0,4050.0
Chinstrap penguin (Pygoscelis antarctica),45.9,3575.0
Chinstrap penguin (Pygoscelis antarctica),50.5,4050.0
Chinstrap penguin (Pygoscelis antarctica),50.3,3300.0
Chinstrap penguin (Pygoscelis antarctica),58.0,3700.0
Chinstrap penguin (Pygoscelis antarctica),46.4,3450.0
Chinstrap penguin (Pygoscelis antarctica),49.2,4400.0
Chinstrap penguin (Pygoscelis antarctica),42.4,3600.0
Chinstrap penguin (Pygoscelis antarctica),48.5,3400.0
Chinstrap penguin (Pygoscelis antarctica),43.2,2900.0
Chinstrap penguin (Pygoscelis antarctica),50.6,3800.0
Chinstrap penguin (Pygoscelis antarctica),46.7,3300.0
Chinstrap penguin (Pygoscelis antarctica),52.0,4150.0
Chinstrap penguin (Pygoscelis antarctica),50.5,3400.0
Chinstrap penguin (Pygoscelis antarctica),49.5,3800.0
Chinstrap penguin (Pygoscelis antarctica),46.4,3700.0
Chinstrap penguin (Pygoscelis antarctica),52.8,4550.0
Chinstrap penguin (Pygoscelis antarctica),40.9,3200.0
Chinstrap penguin (Pygoscelis antarctica),54.2,4300.0
Chinstrap penguin (Pygoscelis antarctica),42.5,3350.0
Chinstrap penguin (Pygoscelis antarctica),51.0,4100.0
Chinstrap penguin (Pygoscelis antarctica),49.7,3600.0
Chinstrap penguin (Pygoscelis antarctica),47.5,3900.0
Chinstrap penguin (Pygoscelis antarctica),47.6,3850.0
Chinstrap penguin (Pygoscelis antarctica),52.0,4800.0
Chinstrap penguin (Pygoscelis antarctica),46.9,2700.0
Chinstrap penguin (Pygoscelis antarctica),53.5,4500.0
Chinstrap penguin (Pygoscelis antarctica),49.0,3950.0
Chinstrap penguin (Pygoscelis antarctica),46.2,3650.0
Chinstrap penguin (Pygoscelis antarctica),50.9,3550.0
Chinstrap penguin (Pygoscelis antarctica),45.5,3500.0
Chinstrap penguin (Pygoscelis antarctica),50.9,3675.0
Chinstrap penguin (Pygoscelis antarctica),50.8,4450.0
Chinstrap penguin (Pygoscelis antarctica),50.1,3400.0
Chinstrap penguin (Pygoscelis antarctica),49.0,4300.0
Chinstrap penguin (Pygoscelis antarctica),51.5,3250.0
Chinstrap penguin (Pygoscelis antarctica),49.8,3675.0
Chinstrap penguin (Pygoscelis antarctica),48.1,3325.0
Chinstrap penguin (Pygoscelis antarctica),51.4,3950.0
Chinstrap penguin (Pygoscelis antarctica),45.7,3600.0
Chinstrap penguin (Pygoscelis antarctica),50.7,4050.0
Chinstrap penguin (Pygoscelis antarctica),42.5,3350.0
Chinstrap penguin (Pygoscelis antarctica),52.2,3450.0
Chinstrap penguin (Pygoscelis antarctica),45.2,3250.0
Chinstrap penguin (Pygoscelis antarctica),49.3,4050.0
Chinstrap penguin (Pygoscelis antarctica),50.2,3800.0
Chinstrap penguin (Pygoscelis antarctica),45.6,3525.0
Chinstrap penguin (Pygoscelis antarctica),51.9,3950.0
Chinstrap penguin (Pygoscelis antarctica),46.8,3650.0
Chinstrap penguin (Pygoscelis antarctica),45.7,3650.0
Chinstrap penguin (Pygoscelis antarctica),55.8,4000.0
Chinstrap penguin (Pygoscelis antarctica),43.5,3400.0
Chinstrap penguin (Pygoscelis antarctica),49.6,3775.0
Chinstrap penguin (Pygoscelis antarctica),50.8,4100.0
Chinstrap penguin (Pygoscelis antarctica),50.2,3775.0
Gentoo penguin (Pygoscelis papua),46.1,4500.0
Gentoo penguin (Pygoscelis papua),50.0,5700.0
Gentoo penguin (Pygoscelis papua),48.7,4450.0
Gentoo penguin (Pygoscelis papua),50.0,5700.0
Gentoo penguin (Pygoscelis papua),47.6,5400.0
Gentoo penguin (Pygoscelis papua),46.5,4550.0
Gentoo penguin (Pygoscelis papua),45.4,4800.0
Gentoo penguin (Pygoscelis papua),46.7,5200.0
Gentoo penguin (Pygoscelis papua),43.3,4400.0
Gentoo penguin (Pygoscelis papua),46.8,5150.0
Gentoo penguin (Pygoscelis papua),40.9,4650.0
Gentoo penguin (Pygoscelis papua),49.0,5550.0
Gentoo penguin (Pygoscelis papua),45.5,4650.0
Gentoo penguin (Pygoscelis papua),48.4,5850.0
Gentoo penguin (Pygoscelis papua),45.8,4200.0
Gentoo penguin (Pygoscelis papua),49.3,5850.0
Gentoo penguin (Pygoscelis papua),42.0,4150.0
Gentoo penguin (Pygoscelis papua),49.2,6300.0
Gentoo penguin (Pygoscelis papua),46.2,4800.0
Gentoo penguin (Pygoscelis papua),48.7,5350.0
Gentoo penguin (Pygoscelis papua),50.2,5700.0
Gentoo penguin (Pygoscelis papua),45.1,5000.0
Gentoo penguin (Pygoscelis papua),46.5,4400.0
Gentoo penguin (Pygoscelis papua),46.3,5050.0
Gentoo penguin (Pygoscelis papua),42.9,5000.0
Gentoo penguin (Pygoscelis papua),46.1,5100.0
Gentoo penguin (Pygoscelis papua),44.5,4100.0
Gentoo penguin (Pygoscelis papua),47.8,5650.0
Gentoo penguin (Pygoscelis papua),48.2,4600.0
Gentoo penguin (Pygoscelis papua),50.0,5550.0
Gentoo penguin (Pygoscelis papua),47.3,5250.0
Gentoo penguin (Pygoscelis papua),42.8,4700.0
Gentoo penguin (Pygoscelis papua),45.1,5050.0
Gentoo penguin (Pygoscelis papua),59.6,6050.0
Gentoo penguin (Pygoscelis papua),49.1,5150.0
Gentoo penguin (Pygoscelis papua),48.4,5400.0
Gentoo penguin (Pygoscelis papua),42.6,4950.0
Gentoo penguin (Pygoscelis papua),44.4,5250.0
Gentoo penguin (Pygoscelis papua),44.0,4350.0
Gentoo penguin (Pygoscelis papua),48.7,5350.0
Gentoo penguin (Pygoscelis papua),42.7,3950.0
Gentoo penguin (Pygoscelis papua),49.6,5700.0
Gentoo penguin (Pygoscelis papua),45.3,4300.0
Gentoo penguin (Pygoscelis papua),49.6,4750.0
Gentoo penguin (Pygoscelis papua),50.5,5550.0
Gentoo penguin (Pygoscelis papua),43.6,4900.0
Gentoo penguin (Pygoscelis papua),45.5,4200.0
Gentoo penguin (Pygoscelis papua),50.5,5400.0
Gentoo penguin (Pygoscelis papua),44.9,5100.0
Gentoo penguin (Pygoscelis papua),45.2,5300.0
Gentoo penguin (Pygoscelis papua),46.6,4850.0
Gentoo penguin (Pygoscelis papua),48.5,5300.0
Gentoo penguin (Pygoscelis papua),45.1,4400.0
Gentoo penguin (Pygoscelis papua),50.1,5000.0
Gentoo penguin (Pygoscelis papua),46.5,4900.0
Gentoo penguin (Pygoscelis papua),45.0,5050.0
Gentoo penguin (Pygoscelis papua),43.8,4300.0
Gentoo penguin (Pygoscelis papua),45.5,5000.0
Gentoo penguin (Pygoscelis papua),43.2,4450.0
Gentoo penguin (Pygoscelis papua),50.4,5550.0
Gentoo penguin (Pygoscelis papua),45.3,4200.0
Gentoo penguin (Pygoscelis papua),46.2,5300.0
Gentoo penguin (Pygoscelis papua),45.7,4400.0
Gentoo penguin (Pygoscelis papua),54.3,5650.0
Gentoo penguin (Pygoscelis papua),45.8,4700.0
Gentoo penguin (Pygoscelis papua),49.8,5700.0
Gentoo penguin (Pygoscelis papua),46.2,4650.0
Gentoo penguin (Pygoscelis papua),49.5,5800.0
Gentoo penguin (Pygoscelis papua),43.5,4700.0
Gentoo penguin (Pygoscelis papua),50.7,5550.0
Gentoo penguin (Pygoscelis papua),47.7,4750.0
Gentoo penguin (Pygoscelis papua),46.4,5000.0
Gentoo penguin (Pygoscelis papua),48.2,5100.0
Gentoo penguin (Pygoscelis papua),46.5,5200.0
Gentoo penguin (Pygoscelis papua),46.4,4700.0
Gentoo penguin (Pygoscelis papua),48.6,5800.0
Gentoo penguin (Pygoscelis papua),47.5,4600.0
Gentoo penguin (Pygoscelis papua),51.1,6000.0
Gentoo penguin (Pygoscelis papua),45.2,4750.0
Gentoo penguin (Pygoscelis papua),45.2,5950.0
Gentoo penguin (Pygoscelis papua),49.1,4625.0
Gentoo penguin (Pygoscelis papua),52.5,5450.0
Gentoo penguin (Pygoscelis papua),47.4,4725.0
Gentoo penguin (Pygoscelis papua),50.0,5350.0
Gentoo penguin (Pygoscelis papua),44.9,4750.0
Gentoo penguin (Pygoscelis papua),50.8,5600.0
Gentoo penguin (Pygoscelis papua),43.4,4600.0
Gentoo penguin (Pygoscelis papua),51.3,5300.0
Gentoo penguin (Pygoscelis papua),47.5,4875.0
Gentoo penguin (Pygoscelis papua),52.1,5550.0
Gentoo penguin (Pygoscelis papua),47.5,4950.0
Gentoo penguin (Pygoscelis papua),52.2,5400.0
Gentoo penguin (Pygoscelis papua),45.5,4750.0
Gentoo penguin (Pygoscelis papua),49.5,5650.0
Gentoo penguin (Pygoscelis papua),44.5,4850.0
Gentoo penguin (Pygoscelis papua),50.8,5200.0
Gentoo penguin (Pygoscelis papua),49.4,4925.0
Gentoo penguin (Pygoscelis papua),46.9,4875.0
Gentoo penguin (Pygoscelis papua),48.4,4625.0
Gentoo penguin (Pygoscelis papua),51.1,5250.0
Gentoo penguin (Pygoscelis papua),48.5,4850.0
Gentoo penguin (Pygoscelis papua),55.9,5600.0
Gentoo penguin (Pygoscelis papua),47.2,4975.0
Gentoo penguin (Pygoscelis papua),49.1,5500.0
Gentoo penguin (Pygoscelis papua),47.3,4725.0
Gentoo penguin (Pygoscelis papua),46.8,5500.0
Gentoo penguin (Pygoscelis papua),41.7,4700.0
Gentoo penguin (Pygoscelis papua),53.4,5500.0
Gentoo penguin (Pygoscelis papua),43.3,4575.0
Gentoo penguin (Pygoscelis papua),48.1,5500.0
Gentoo penguin (Pygoscelis papua),50.5,5000.0
Gentoo penguin (Pygoscelis papua),49.8,5950.0
Gentoo penguin (Pygoscelis papua),43.5,4650.0
Gentoo penguin (Pygoscelis papua),51.5,5500.0
Gentoo penguin (Pygoscelis papua),46.2,4375.0
Gentoo penguin (Pygoscelis papua),55.1,5850.0
Gentoo penguin (Pygoscelis papua),44.5,4875.0
Gentoo penguin (Pygoscelis papua),48.8,6000.0
Gentoo penguin (Pygoscelis papua),47.2,4925.0
Gentoo penguin (Pygoscelis papua),46.8,4850.0
Gentoo penguin (Pygoscelis papua),50.4,5750.0
Gentoo penguin (Pygoscelis papua),45.2,5200.0
Gentoo penguin (Pygoscelis papua),49.9,5400.0
